RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        18438     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  280  288     3  2101  bnd    0  1.0D+00  2.4D-01  2.558D+00  1.497D+03
  281  289     1  2101  bnd    0  1.0D+00  5.1D-01  2.682D+00  1.496D+03
  282  290     1  2090  bnd    0  1.0D+00  3.1D-01  2.666D+00  1.495D+03
  283  291     1  2088  bnd    0  1.0D+00  9.1D-01  2.289D+00  1.493D+03
  284  292     2  2082  bnd    0  1.0D+00  1.3D-01  2.201D+00  1.492D+03
  285  293     1  2081  bnd    0  1.0D+00  6.8D-02  2.047D+00  1.491D+03
  286  294     1  2082  bnd    0  1.0D+00  1.5D-01  2.706D+00  1.490D+03
  287  295     1  2080  bnd    0  1.0D+00  4.5D-01  3.537D+00  1.488D+03
  288  296     1  2080  bnd    0  1.0D+00  5.8D-01  3.978D+00  1.486D+03
  289  297     1  2075  bnd    0  1.0D+00  5.6D-01  4.183D+00  1.484D+03
  290  298     3  2076  bnd    0  1.0D+00  4.0D-01  3.883D+00  1.483D+03
  291  299     1  2075  bnd    0  1.0D+00  3.6D-01  3.215D+00  1.482D+03
  292  300     1  2070  bnd    0  1.0D+00  1.0D-01  3.429D+00  1.481D+03
  293  301     1  2071  con    0  1.0D+00  3.6D-02  3.074D+00  1.481D+03
  294  302     1  2070  bnd    0  1.0D+00  3.0D-01  2.110D+00  1.480D+03
  295  303     4  2072  bnd    0  1.0D+00  5.2D-01  2.128D+00  1.478D+03
  296  304     2  2070  bnd    0  1.0D+00  5.8D-01  2.849D+00  1.477D+03
  297  305     1  2068  bnd    0  1.0D+00  5.3D-01  3.286D+00  1.476D+03
  298  306     1  2067  bnd    0  1.0D+00  4.9D-02  2.942D+00  1.475D+03
  299  307     1  2067  bnd    0  1.0D+00  1.0D-01  2.436D+00  1.474D+03
  300  308     1  2065  bnd    0  1.0D+00  4.9D-02  2.306D+00  1.474D+03
  301  309     2  2065  bnd    0  1.0D+00  2.3D-01  2.425D+00  1.473D+03
  302  310     1  2064  bnd    0  1.0D+00  3.8D-01  2.518D+00  1.472D+03
  303  311     1  2062  bnd    0  1.0D+00  3.2D-01  2.670D+00  1.471D+03
  304  312     1  2061  bnd    0  1.0D+00  1.8D-01  2.627D+00  1.471D+03
  305  313     2  2061  bnd    0  1.0D+00  4.1D-01  2.539D+00  1.470D+03
  306  314     1  2060  bnd    0  1.0D+00  9.6D-02  2.263D+00  1.469D+03
  307  315     1  2058  bnd    0  1.0D+00  8.0D-02  2.326D+00  1.469D+03
  308  316     1  2060  bnd    0  1.0D+00  2.7D-01  2.326D+00  1.467D+03
  309  317     2  2059  bnd    0  1.0D+00  3.0D-01  3.356D+00  1.466D+03
  310  318     1  2055  bnd    0  1.0D+00  1.9D-01  3.484D+00  1.465D+03
  311  319     1  2051  bnd    0  1.0D+00  4.9D-01  3.175D+00  1.464D+03
  312  320     1  2053  bnd    0  1.0D+00  5.5D-01  2.536D+00  1.463D+03
  313  321     2  2051  bnd    0  1.0D+00  1.7D-01  2.176D+00  1.463D+03
  314  322     1  2047  bnd    0  1.0D+00  2.6D-01  2.153D+00  1.462D+03
  315  323     2  2046  bnd    0  1.0D+00  4.0D-01  2.195D+00  1.461D+03
  316  324     2  2045  bnd    0  1.0D+00  5.0D-01  2.163D+00  1.460D+03
  317  325     1  2044  bnd    0  1.0D+00  5.0D-01  2.206D+00  1.460D+03
  318  326     1  2043  bnd    0  1.0D+00  1.1D-01  2.098D+00  1.459D+03
  319  327     2  2043  bnd    0  1.0D+00  1.7D-01  1.952D+00  1.459D+03
  320  328     1  2043  bnd    0  1.0D+00  3.3D-01  1.596D+00  1.458D+03
  321  329     1  2038  bnd    0  1.0D+00  3.4D-01  1.893D+00  1.457D+03
  322  330     1  2036  bnd    0  1.0D+00  9.1D-01  2.603D+00  1.456D+03
  323  331     1  2030  bnd    0  1.0D+00  1.6D-01  2.177D+00  1.455D+03
  324  332     2  2032  bnd    0  1.0D+00  1.1D-01  1.782D+00  1.455D+03
  325  333     2  2036  bnd    0  1.0D+00  1.4D-01  2.109D+00  1.454D+03
  326  334     1  2033  bnd    0  1.0D+00  3.2D-01  2.065D+00  1.453D+03
  327  335     1  2034  bnd    0  1.0D+00  1.0D+00  2.316D+00  1.453D+03
  328  336     1  2030  bnd    0  1.0D+00  3.2D-01  2.162D+00  1.453D+03
  329  337     1  2029  bnd    0  1.0D+00  3.4D-01  2.157D+00  1.452D+03
  330  338     2  2032  bnd    0  1.0D+00  3.0D-01  2.165D+00  1.451D+03
  331  339     1  2029  bnd    0  1.0D+00  1.3D-01  2.166D+00  1.450D+03
  332  340     1  2029  bnd    0  1.0D+00  3.2D-01  2.550D+00  1.449D+03
  333  341     1  2029  bnd    0  1.0D+00  4.9D-01  3.063D+00  1.448D+03
  334  342     1  2030  bnd    0  1.0D+00  2.8D-01  2.755D+00  1.447D+03
  335  343     1  2027  bnd    0  1.0D+00  2.4D-01  2.164D+00  1.446D+03
  336  344     1  2027  bnd    0  1.0D+00  1.2D-01  2.165D+00  1.446D+03
  337  345     1  2026  bnd    0  1.0D+00  1.2D-01  2.159D+00  1.446D+03
  338  346     2  2027  bnd    0  1.0D+00  2.2D-01  2.113D+00  1.445D+03
  339  347     1  2026  bnd    0  1.0D+00  2.0D-01  1.997D+00  1.444D+03
  340  348     1  2027  bnd    0  1.0D+00  1.1D-01  1.941D+00  1.444D+03
  341  349     1  2027  bnd    0  1.0D+00  4.9D-01  2.093D+00  1.443D+03
  342  350     1  2024  bnd    0  1.0D+00  2.7D-01  2.916D+00  1.443D+03
  343  351     1  2021  bnd    0  1.0D+00  3.8D-01  3.787D+00  1.442D+03
  344  352     1  2020  bnd    0  1.0D+00  4.3D-01  4.121D+00  1.441D+03
  345  353     1  2021  bnd    0  1.0D+00  6.9D-01  3.781D+00  1.439D+03
  346  354     1  2018  bnd    0  1.0D+00  6.2D-01  2.536D+00  1.438D+03
  347  355     2  2019  bnd    0  1.0D+00  2.9D-01  2.298D+00  1.438D+03
  348  356     2  2018  bnd    0  1.0D+00  5.3D-01  2.190D+00  1.436D+03
  349  357     2  2017  bnd    0  1.0D+00  4.6D-01  2.189D+00  1.436D+03
  350  358     1  2017  bnd    0  1.0D+00  2.3D-01  2.189D+00  1.435D+03
  351  359     1  2016  bnd    0  1.0D+00  1.1D-01  2.020D+00  1.435D+03
  352  360     1  2012  bnd    0  1.0D+00  3.5D-01  2.001D+00  1.434D+03
  353  361     3  2007  bnd    0  1.0D+00  3.9D-01  2.630D+00  1.434D+03
  354  362     1  2005  bnd    0  1.0D+00  5.8D-01  3.354D+00  1.433D+03
  355  363     2  2007  bnd    0  1.0D+00  2.0D-01  3.698D+00  1.432D+03
  356  364     1  2006  bnd    0  1.0D+00  6.3D-02  3.675D+00  1.432D+03
  357  365     1  2006  bnd    0  1.0D+00  9.1D-02  3.355D+00  1.431D+03
  358  366     1  2004  bnd    0  1.0D+00  1.2D-01  3.287D+00  1.431D+03
  359  367     1  2003  bnd    0  1.0D+00  3.5D-01  2.770D+00  1.430D+03
  360  368     1  2004  bnd    0  1.0D+00  2.1D-01  1.962D+00  1.429D+03
  361  369     1  2004  bnd    0  1.0D+00  2.9D-01  1.810D+00  1.429D+03
  362  370     1  2003  bnd    0  1.0D+00  2.5D-01  2.192D+00  1.428D+03
  363  371     1  2003  bnd    0  1.0D+00  3.3D-01  2.504D+00  1.427D+03
  364  372     2  2005  bnd    0  1.0D+00  2.3D-01  3.061D+00  1.426D+03
  365  373     1  2004  bnd    0  1.0D+00  7.5D-02  3.062D+00  1.426D+03
  366  374     1  2004  bnd    0  1.0D+00  2.0D-01  2.973D+00  1.426D+03
  367  375     1  2006  bnd    0  1.0D+00  2.1D-01  2.851D+00  1.425D+03
  368  376     1  2004  bnd    0  1.0D+00  4.7D-01  2.501D+00  1.424D+03
  369  377     1  1999  bnd    0  1.0D+00  2.7D-01  2.162D+00  1.424D+03
  370  378     1  2000  bnd    0  1.0D+00  4.2D-01  2.773D+00  1.423D+03
  371  379     1  2003  bnd    0  1.0D+00  2.6D-01  3.205D+00  1.422D+03
  372  380     1  2004  bnd    0  1.0D+00  1.2D-01  3.230D+00  1.421D+03
  373  381     1  2005  bnd    0  1.0D+00  9.0D-02  2.907D+00  1.421D+03
  374  382     1  2005  bnd    0  1.0D+00  6.2D-02  2.482D+00  1.420D+03
  375  383     2  2006  bnd    0  1.0D+00  2.1D-01  2.888D+00  1.420D+03
  376  384     1  2007  bnd    0  1.0D+00  1.9D-01  3.120D+00  1.420D+03
  377  385     1  2008  bnd    0  1.0D+00  5.2D-01  3.358D+00  1.419D+03
  378  386     1  2007  bnd    0  1.0D+00  2.0D-01  2.900D+00  1.418D+03
  379  387     1  2004  bnd    0  1.0D+00  1.8D-01  2.071D+00  1.417D+03
  380  388     1  2004  bnd    0  1.0D+00  2.2D-01  2.191D+00  1.417D+03
  381  389     1  2004  bnd    0  1.0D+00  3.3D-02  2.133D+00  1.417D+03
  382  390     1  2004  bnd    0  1.0D+00  1.9D-01  1.716D+00  1.416D+03
  383  391     1  2001  bnd    0  1.0D+00  2.2D-01  1.405D+00  1.416D+03
  384  392     2  2003  bnd    0  1.0D+00  3.3D-01  1.709D+00  1.415D+03
  385  393     2  2006  bnd    0  1.0D+00  3.4D-01  2.400D+00  1.415D+03
  386  394     1  2004  bnd    0  1.0D+00  5.8D-01  3.403D+00  1.414D+03
  387  395     1  2004  bnd    0  1.0D+00  5.8D-01  4.086D+00  1.413D+03
  388  396     1  2008  bnd    0  1.0D+00  3.3D-01  3.931D+00  1.412D+03
  389  397     1  2009  bnd    0  1.0D+00  1.4D-01  3.227D+00  1.411D+03
  390  398     1  2011  bnd    0  1.0D+00  3.1D-01  2.409D+00  1.410D+03
  391  399     1  2015  bnd    0  1.0D+00  3.0D-01  2.281D+00  1.410D+03
  392  400     1  2014  bnd    0  1.0D+00  8.1D-01  2.178D+00  1.409D+03
  393  401     1  2014  bnd    0  1.0D+00  2.8D-01  2.103D+00  1.408D+03
  394  402     2  2014  bnd    0  1.0D+00  4.4D-01  1.865D+00  1.408D+03
  395  403     2  2015  bnd    0  1.0D+00  4.8D-01  2.248D+00  1.407D+03
  396  404     2  2018  bnd    0  1.0D+00  1.6D-01  2.842D+00  1.407D+03
  397  405     1  2017  bnd    0  1.0D+00  2.4D-01  3.348D+00  1.406D+03
  398  406     2  2015  bnd    0  1.0D+00  1.6D-01  3.219D+00  1.405D+03
  399  407     1  2016  bnd    0  1.0D+00  2.0D-01  2.583D+00  1.405D+03
  400  408     4  2019  bnd    0  1.0D+00  2.5D-01  2.063D+00  1.404D+03
  401  409     2  2019  bnd    0  1.0D+00  3.3D-01  1.886D+00  1.404D+03
  402  410     2  2021  bnd    0  1.0D+00  4.1D-01  1.875D+00  1.403D+03
  403  411     1  2020  bnd    0  1.0D+00  4.5D-01  1.560D+00  1.402D+03
  404  412     4  2025  bnd    0  1.0D+00  3.8D-01  2.657D+00  1.402D+03
  405  413     1  2031  bnd    0  1.0D+00  1.5D-01  2.879D+00  1.401D+03
  406  414     4  2034  bnd    0  1.0D+00  2.8D-01  3.222D+00  1.400D+03
  407  415     1  2032  bnd    0  1.0D+00  9.8D-02  3.169D+00  1.400D+03
  408  416     1  2031  bnd    0  1.0D+00  2.3D-01  2.862D+00  1.400D+03
  409  417     3  2033  bnd    0  1.0D+00  3.0D-01  2.292D+00  1.399D+03
  410  418     2  2036  bnd    0  1.0D+00  2.1D-01  2.081D+00  1.399D+03
  411  419     1  2037  bnd    0  1.0D+00  2.0D-01  2.343D+00  1.398D+03
  412  420     1  2038  bnd    0  1.0D+00  3.2D-01  2.472D+00  1.398D+03
  413  421     1  2039  bnd    0  1.0D+00  1.6D-01  2.578D+00  1.397D+03
  414  422     1  2037  bnd    0  1.0D+00  2.7D-02  2.445D+00  1.397D+03
  415  423     1  2037  bnd    0  1.0D+00  7.0D-02  2.722D+00  1.397D+03
  416  424     1  2037  bnd    0  1.0D+00  7.3D-02  2.819D+00  1.396D+03
  417  425     1  2039  bnd    0  1.0D+00  1.1D-01  3.381D+00  1.396D+03
  418  426     1  2040  bnd    0  1.0D+00  7.8D-02  3.696D+00  1.396D+03
  419  427     1  2040  bnd    0  1.0D+00  7.7D-02  3.741D+00  1.396D+03
  420  428     1  2041  bnd    0  1.0D+00  1.1D-01  3.175D+00  1.395D+03
  421  429     1  2043  bnd    0  1.0D+00  1.7D-01  2.174D+00  1.395D+03
  422  430     1  2044  bnd    0  1.0D+00  3.2D-01  1.668D+00  1.394D+03
  423  431     1  2046  bnd    0  1.0D+00  1.5D-01  1.528D+00  1.394D+03
  424  432     1  2047  bnd    0  1.0D+00  2.6D-01  2.023D+00  1.393D+03
  425  433     1  2050  bnd    0  1.0D+00  2.8D-01  2.190D+00  1.393D+03
  426  434     2  2050  bnd    0  1.0D+00  5.0D-01  2.196D+00  1.392D+03
  427  435     3  2053  bnd    0  1.0D+00  3.3D-01  2.210D+00  1.392D+03
  428  436     1  2055  bnd    0  1.0D+00  2.7D-01  1.916D+00  1.391D+03
  429  437     1  2055  bnd    0  1.0D+00  3.5D-01  1.319D+00  1.391D+03
  430  438     1  2058  bnd    0  1.0D+00  5.9D-01  1.357D+00  1.390D+03
  431  439     2  2063  bnd    0  1.0D+00  1.2D-01  1.357D+00  1.390D+03
  432  440     3  2065  bnd    0  1.0D+00  2.4D-01  1.422D+00  1.389D+03
  433  441     1  2064  bnd    0  1.0D+00  1.4D-01  1.708D+00  1.389D+03
  434  442     1  2066  bnd    0  1.0D+00  1.8D-02  1.673D+00  1.389D+03
  435  443     1  2064  bnd    0  1.0D+00  2.2D-01  1.760D+00  1.389D+03
  436  444     1  2067  bnd    0  1.0D+00  3.6D-01  1.761D+00  1.388D+03
  437  445     1  2069  bnd    0  1.0D+00  3.5D-01  2.114D+00  1.388D+03
  438  446     1  2073  bnd    0  1.0D+00  4.8D-01  2.417D+00  1.388D+03
  439  447     3  2079  bnd    0  1.0D+00  4.3D-01  2.109D+00  1.387D+03
  440  448     3  2082  bnd    0  1.0D+00  1.8D-01  1.735D+00  1.386D+03
  441  449     1  2083  bnd    0  1.0D+00  6.4D-02  1.797D+00  1.386D+03
  442  450     1  2083  con    0  1.0D+00  5.6D-02  1.676D+00  1.386D+03
  443  451     1  2081  bnd    0  1.0D+00  1.4D-01  1.465D+00  1.385D+03
  444  452     1  2080  bnd    0  1.0D+00  1.4D-01  1.478D+00  1.385D+03
  445  453     1  2081  bnd    0  1.0D+00  3.0D-01  2.051D+00  1.385D+03
  446  454     2  2083  bnd    0  1.0D+00  3.0D-01  2.191D+00  1.384D+03
  447  455     1  2081  bnd    0  1.0D+00  2.7D-01  2.062D+00  1.384D+03
  448  456     1  2080  bnd    0  1.0D+00  1.6D-01  1.556D+00  1.384D+03
  449  457     1  2079  bnd    0  1.0D+00  2.9D-01  1.628D+00  1.383D+03
  450  458     2  2077  bnd    0  1.0D+00  2.0D-01  1.629D+00  1.383D+03
  451  459     2  2078  bnd    0  1.0D+00  1.7D-01  1.517D+00  1.382D+03
  452  460     2  2080  bnd    0  1.0D+00  2.3D-01  1.395D+00  1.382D+03
  453  461     1  2080  bnd    0  1.0D+00  2.8D-01  1.424D+00  1.382D+03
  454  462     2  2082  bnd    0  1.0D+00  5.4D-01  2.192D+00  1.381D+03
  455  463     1  2089  bnd    0  1.0D+00  4.8D-01  2.189D+00  1.381D+03
  456  464     2  2092  bnd    0  1.0D+00  3.8D-01  2.126D+00  1.380D+03
  457  465     1  2096  bnd    0  1.0D+00  5.0D-01  1.738D+00  1.380D+03
  458  466     3  2101  bnd    0  1.0D+00  1.8D-02  1.558D+00  1.379D+03
  459  467     1  2098  bnd    0  1.0D+00  1.6D-01  1.231D+00  1.379D+03
  460  468     1  2099  bnd    0  1.0D+00  2.7D-01  1.182D+00  1.379D+03
  461  469     2  2099  bnd    0  1.0D+00  4.9D-01  1.339D+00  1.378D+03
  462  470     2  2105  bnd    0  1.0D+00  5.4D-01  1.915D+00  1.378D+03
  463  471     1  2105  bnd    0  1.0D+00  3.1D-01  2.135D+00  1.378D+03
  464  472     1  2103  bnd    0  1.0D+00  1.5D-01  2.001D+00  1.377D+03
  465  473     1  2103  bnd    0  1.0D+00  2.3D-01  1.557D+00  1.377D+03
  466  474     1  2105  bnd    0  1.0D+00  2.7D-01  1.398D+00  1.376D+03
  467  475     2  2107  bnd    0  1.0D+00  2.5D-01  1.524D+00  1.376D+03
  468  476     1  2109  bnd    0  1.0D+00  4.0D-01  1.533D+00  1.376D+03
  469  477     2  2110  bnd    0  1.0D+00  2.4D-01  1.722D+00  1.375D+03
  470  478     1  2111  bnd    0  1.0D+00  2.6D-01  2.139D+00  1.375D+03
  471  479     2  2116  bnd    0  1.0D+00  4.8D-01  2.345D+00  1.374D+03
  472  480     1  2118  bnd    0  1.0D+00  4.1D-01  2.448D+00  1.374D+03
  473  481     1  2119  bnd    0  1.0D+00  2.4D-01  2.026D+00  1.374D+03
  474  482     1  2120  bnd    0  1.0D+00  4.1D-01  1.358D+00  1.373D+03
  475  483     1  2122  bnd    0  1.0D+00  3.3D-01  1.251D+00  1.373D+03
  476  484     1  2127  bnd    0  1.0D+00  5.5D-01  1.201D+00  1.372D+03
  477  485     1  2135  bnd    0  1.0D+00  4.2D-01  1.377D+00  1.372D+03
  478  486     1  2145  bnd    0  1.0D+00  4.8D-01  1.629D+00  1.372D+03
  479  487     3  2151  bnd    0  1.0D+00  3.3D-01  1.681D+00  1.371D+03
  480  488     3  2157  bnd    0  1.0D+00  2.3D-01  1.721D+00  1.371D+03
  481  489     2  2161  bnd    0  1.0D+00  2.0D-01  2.191D+00  1.370D+03
  482  490     1  2159  bnd    0  1.0D+00  2.1D-01  2.192D+00  1.370D+03
  483  491     1  2159  bnd    0  1.0D+00  3.4D-01  2.191D+00  1.370D+03
  484  492     2  2162  bnd    0  1.0D+00  2.6D-01  1.638D+00  1.369D+03
  485  493     2  2161  bnd    0  1.0D+00  2.3D-01  1.415D+00  1.369D+03
  486  494     2  2164  bnd    0  1.0D+00  2.4D-01  1.061D+00  1.369D+03
  487  495     3  2170  bnd    0  1.0D+00  3.0D-01  1.406D+00  1.368D+03
  488  496     1  2172  bnd    0  1.0D+00  1.4D-01  1.599D+00  1.368D+03
  489  497     2  2173  bnd    0  1.0D+00  1.8D-01  1.591D+00  1.368D+03
  490  498     3  2175  bnd    0  1.0D+00  1.3D-01  1.385D+00  1.368D+03
  491  499     2  2172  bnd    0  1.0D+00  1.3D-01  1.360D+00  1.367D+03
  492  500     2  2174  bnd    0  1.0D+00  3.4D-01  1.358D+00  1.367D+03
  493  501     2  2175  bnd    0  1.0D+00  3.2D-01  1.677D+00  1.366D+03
  494  502     2  2173  bnd    0  1.0D+00  9.7D-02  1.786D+00  1.366D+03
  495  503     1  2175  bnd    0  1.0D+00  2.3D-01  1.738D+00  1.366D+03
  496  504     1  2176  bnd    0  1.0D+00  1.3D-01  1.604D+00  1.365D+03
  497  505     2  2177  bnd    0  1.0D+00  1.4D-01  1.413D+00  1.365D+03
  498  506     2  2177  bnd    0  1.0D+00  2.3D-01  1.502D+00  1.365D+03
  499  507     2  2186  bnd    0  1.0D+00  1.7D-01  1.692D+00  1.365D+03
  500  508     2  2186  bnd    0  1.0D+00  1.6D-01  1.654D+00  1.364D+03
  501  509     1  2188  bnd    0  1.0D+00  1.6D-01  1.374D+00  1.364D+03
  502  510     1  2187  bnd    0  1.0D+00  1.0D-01  1.346D+00  1.364D+03
  503  511     2  2189  bnd    0  1.0D+00  2.3D-01  1.446D+00  1.363D+03
  504  512     2  2192  bnd    0  1.0D+00  2.5D-01  1.518D+00  1.363D+03
  505  513     3  2194  bnd    0  1.0D+00  1.2D-01  1.413D+00  1.363D+03
  506  514     1  2194  bnd    0  1.0D+00  2.5D-01  1.465D+00  1.363D+03
  507  515     1  2193  bnd    0  1.0D+00  1.9D-01  1.480D+00  1.362D+03
  508  516     1  2194  bnd    0  1.0D+00  1.6D-01  1.253D+00  1.362D+03
  509  517     1  2196  bnd    0  1.0D+00  2.7D-01  1.353D+00  1.362D+03
  510  518     1  2202  bnd    0  1.0D+00  1.9D-01  1.355D+00  1.362D+03
  511  519     1  2203  bnd    0  1.0D+00  2.4D-02  1.355D+00  1.361D+03
  512  520     1  2203  bnd    0  1.0D+00  1.0D-01  1.354D+00  1.361D+03
  513  521     2  2206  bnd    0  1.0D+00  1.7D-01  1.506D+00  1.361D+03
  514  522     2  2208  bnd    0  1.0D+00  3.1D-01  1.529D+00  1.361D+03
  515  523     2  2208  bnd    0  1.0D+00  2.2D-01  1.500D+00  1.360D+03
  516  524     1  2211  bnd    0  1.0D+00  2.5D-01  1.637D+00  1.360D+03
  517  525     1  2212  bnd    0  1.0D+00  2.2D-01  1.565D+00  1.360D+03
  518  526     1  2210  bnd    0  1.0D+00  2.7D-01  1.372D+00  1.359D+03
  519  527     1  2212  bnd    0  1.0D+00  1.3D-02  1.370D+00  1.359D+03
  520  528     1  2215  bnd    0  1.0D+00  6.0D-02  1.341D+00  1.359D+03
  521  529     1  2216  bnd    0  1.0D+00  6.5D-02  1.339D+00  1.359D+03
  522  530     1  2216  bnd    0  1.0D+00  2.6D-01  1.222D+00  1.359D+03
  523  531     1  2215  bnd    0  1.0D+00  1.7D-01  1.268D+00  1.359D+03
  524  532     1  2215  bnd    0  1.0D+00  8.9D-02  1.276D+00  1.358D+03
  525  533     1  2214  bnd    0  1.0D+00  1.2D-01  1.334D+00  1.358D+03
  526  534     1  2213  bnd    0  1.0D+00  2.0D-01  1.416D+00  1.358D+03
  527  535     1  2216  bnd    0  1.0D+00  2.1D-01  1.588D+00  1.358D+03
  528  536     1  2214  bnd    0  1.0D+00  2.1D-01  1.919D+00  1.358D+03
  529  537     2  2214  bnd    0  1.0D+00  2.4D-01  1.786D+00  1.357D+03
  530  538     1  2219  con    0  1.0D+00  2.2D-01  1.317D+00  1.357D+03
  531  539     2  2217  bnd    0  1.0D+00  8.3D-02  1.255D+00  1.357D+03
  532  540     1  2218  bnd    0  1.0D+00  1.6D-01  1.037D+00  1.357D+03
  533  541     2  2220  bnd    0  1.0D+00  1.9D-01  1.141D+00  1.357D+03
  534  542     1  2220  bnd    0  1.0D+00  3.5D-01  1.188D+00  1.356D+03
  535  543     1  2224  bnd    0  1.0D+00  2.0D-01  1.107D+00  1.356D+03
  536  544     2  2229  bnd    0  1.0D+00  1.5D-01  1.189D+00  1.356D+03
  537  545     1  2230  bnd    0  1.0D+00  2.7D-01  1.094D+00  1.356D+03
  538  546     1  2231  bnd    0  1.0D+00  3.5D-01  1.209D+00  1.356D+03
  539  547     1  2234  bnd    0  1.0D+00  1.0D-01  1.278D+00  1.356D+03
  540  548     1  2234  bnd    0  1.0D+00  4.2D-02  1.049D+00  1.356D+03
  541  549     1  2235  bnd    0  1.0D+00  1.1D-01  7.907D-01  1.355D+03
  542  550     2  2233  bnd    0  1.0D+00  2.4D-01  8.797D-01  1.355D+03
  543  551     2  2235  bnd    0  1.0D+00  3.9D-01  1.665D+00  1.355D+03
  544  552     1  2243  bnd    0  1.0D+00  9.6D-02  1.775D+00  1.355D+03
  545  553     1  2245  bnd    0  1.0D+00  1.5D-01  1.799D+00  1.355D+03
  546  554     2  2248  bnd    0  1.0D+00  1.6D-01  1.397D+00  1.354D+03
  547  555     1  2249  bnd    0  1.0D+00  3.6D-02  1.204D+00  1.354D+03
  548  556     1  2248  bnd    0  1.0D+00  2.4D-02  1.153D+00  1.354D+03
  549  557     1  2248  bnd    0  1.0D+00  7.1D-02  1.224D+00  1.354D+03
  550  558     1  2247  bnd    0  1.0D+00  1.5D-01  1.215D+00  1.354D+03
  551  559     1  2249  bnd    0  1.0D+00  1.4D-01  1.096D+00  1.354D+03
  552  560     2  2251  bnd    0  1.0D+00  1.6D-01  1.058D+00  1.354D+03
  553  561     1  2253  bnd    0  1.0D+00  1.1D-01  1.303D+00  1.354D+03
  554  562     2  2258  bnd    0  1.0D+00  1.7D-01  1.422D+00  1.353D+03
  555  563     1  2259  bnd    0  1.0D+00  9.3D-02  1.199D+00  1.353D+03
  556  564     1  2258  bnd    0  1.0D+00  9.6D-02  1.038D+00  1.353D+03
  557  565     2  2259  bnd    0  1.0D+00  1.5D-01  8.931D-01  1.353D+03
  558  566     1  2261  bnd    0  1.0D+00  1.8D-01  1.260D+00  1.353D+03
  559  567     1  2261  bnd    0  1.0D+00  1.3D-01  1.477D+00  1.352D+03
  560  568     1  2261  bnd    0  1.0D+00  1.4D-01  1.405D+00  1.352D+03
  561  569     2  2261  con    0  1.0D+00  1.6D-01  1.065D+00  1.352D+03
  562  570     1  2260  bnd    0  1.0D+00  1.7D-01  1.094D+00  1.352D+03
  563  571     1  2258  bnd    0  1.0D+00  2.0D-01  1.015D+00  1.352D+03
  564  572     2  2260  bnd    0  1.0D+00  2.0D-01  1.142D+00  1.352D+03
  565  573     1  2262  bnd    0  1.0D+00  7.9D-02  1.081D+00  1.351D+03
  566  574     1  2263  bnd    0  1.0D+00  5.9D-02  9.957D-01  1.351D+03
  567  575     2  2262  bnd    0  1.0D+00  1.1D-01  1.116D+00  1.351D+03
  568  576     1  2262  bnd    0  1.0D+00  2.2D-01  1.336D+00  1.351D+03
  569  577     1  2256  bnd    0  1.0D+00  1.8D-01  1.377D+00  1.351D+03
  570  578     1  2257  bnd    0  1.0D+00  7.5D-02  1.271D+00  1.351D+03
  571  579     2  2257  con    0  1.0D+00  9.4D-02  9.769D-01  1.350D+03
  572  580     1  2255  bnd    0  1.0D+00  8.9D-02  8.589D-01  1.350D+03
  573  581     1  2255  bnd    0  1.0D+00  1.5D-01  1.210D+00  1.350D+03
  574  582     2  2257  bnd    0  1.0D+00  1.7D-01  1.372D+00  1.350D+03
  575  583     1  2255  bnd    0  1.0D+00  1.2D-01  1.183D+00  1.350D+03
  576  584     1  2257  bnd    0  1.0D+00  9.2D-02  1.057D+00  1.350D+03
  577  585     1  2254  bnd    0  1.0D+00  1.1D-01  8.574D-01  1.349D+03
  578  586     1  2255  bnd    0  1.0D+00  2.0D-01  1.001D+00  1.349D+03
  579  587     2  2257  bnd    0  1.0D+00  1.6D-01  1.117D+00  1.349D+03
  580  588     2  2258  bnd    0  1.0D+00  1.7D-01  1.112D+00  1.349D+03
  581  589     1  2262  con    0  1.0D+00  1.2D-01  1.050D+00  1.349D+03
  582  590     1  2262  bnd    0  1.0D+00  1.3D-01  1.053D+00  1.349D+03
  583  591     1  2261  bnd    0  1.0D+00  1.5D-01  8.961D-01  1.348D+03
  584  592     1  2263  bnd    0  1.0D+00  1.4D-01  7.439D-01  1.348D+03
  585  593     1  2263  bnd    0  1.0D+00  1.3D-01  7.195D-01  1.348D+03
  586  594     1  2268  bnd    0  1.0D+00  1.5D-01  1.057D+00  1.348D+03
  587  595     1  2268  con    0  1.0D+00  1.6D-01  1.320D+00  1.348D+03
  588  596     1  2267  bnd    0  1.0D+00  1.2D-01  1.388D+00  1.348D+03
  589  597     1  2271  bnd    0  1.0D+00  1.1D-01  1.298D+00  1.348D+03
  590  598     1  2272  bnd    0  1.0D+00  1.7D-01  1.037D+00  1.347D+03
  591  599     1  2273  bnd    0  1.0D+00  1.3D-01  9.419D-01  1.347D+03
  592  600     1  2273  bnd    0  1.0D+00  8.5D-02  9.968D-01  1.347D+03
